station_id,kabupaten,nama pos,lintang,bujur
1,Pacitan,Tegalombo,-8.04,111.32
2,Pacitan,Nawangan,-7.99,111.19
3,Pacitan,Pacitan,-8.18,111.09
4,Pacitan,Tulakan,-8.14,111.31
5,Pacitan,Sudimoro,-8.21,111.39
6,Ponorogo,Slahung,-8.05,111.45
7,Ponorogo,Pulung,-7.874,111.62
8,Ponorogo,Ponorogo,-7.86,111.48
9,Trenggalek,Bagong,-8.04,111.71
10,Trenggalek,Munjungan,-8.3,111.59
11,Trenggalek,Kampak,-8.16,111.65
12,Trenggalek,Dongko,-8.18,111.57
13,Trenggalek,Widoro,-8.12,111.72
14,Trenggalek,Tugu,-8.02,111.62
15,Tulungagung,Jaeyan,-7.91,111.82
16,Tulungagung,Tumpakmergo,-8.206,111.866
17,Tulungagung,Kalidawir,-8.18,111.983
18,Tulungagung,Ngantru,-8,111.92
19,Tulungagung,Paingan,-8.04,111.85
20,Blitar,Srengat,-8.04,112.07
21,Blitar,Birowo,-8.22,112.37
22,Blitar,Bantaran,-7.99,112.35
23,Blitar,Wlingi,-8.078,112.325
24,Blitar,Kalibadak,-7.99,112.22
25,Blitar,Lodoyo,-8.16,112.22
26,Blitar,Kesamben,-8.31,112.35
27,Blitar,Kademangan,-8.12,112.14
28,Kediri,Siman,-7.84,112.29
29,Kediri,Papar,-7.69,112.08
30,Kediri,Kediri PU,-7.817,112.009
31,Kediri,Kencong Kediri,-7.7608,112.2342
32,Kediri,Besuki,-7.89,111.9
33,Nganjuk,Nganjuk,-7.59,111.9
34,Nganjuk,Lengkong,-7.535,112.094
35,Nganjuk,Matokan,-7.504,111.937
36,Nganjuk,Stageof. Sawahan,-7.72,111.76
37,Madiun,Pagotan,-7.7,111.55
38,Madiun,Kandangan,-7.7586,111.6992
39,Madiun,Caruban,-7.56,111.67
40,Madiun,Dungus,-7.66,111.64
41,Madiun,Saradan,-7.56,111.75
43,Madiun,Tinap,-7.6,111.42
44,Madiun,Lembehan,-7.762,111.403
45,Madiun,Lanud. Iswahyudi,-7.6,111.445
46,Ngawi,Mantingan,-7.386,111.142
47,Ngawi,Ngale,-7.409,111.372
